Magazine,Issue ,Author Name,Title,Year,Place of publication
Generación Consciente,1,CASQUIVANO,Del amor libre,1923,Alcoy
Generación Consciente,2,CASQUIVANO,Del amor libre,1923,Alcoy
Generación Consciente,3,F. Caro Crespo,Confidencias sexuales. Los vicios solitarios,1923,Alcoy
Generación Consciente,7,Alicia M. De Valmaseda,Apuntes de una incomprendida,1924,Alcoy
Generación Consciente,11,Rafael Zuriaga,El feminismo,1924,Alcoy
Generación Consciente,13,Alicia M. de Valmaseda,Apuntes de una incomprendida,1924,Alcoy
Generación Consciente,14,Médico Rural,Cultura sexual Médico Rural ,1924,Alcoy
Generación Consciente,15,Dr. Cesar Juarros,Del problema sexual:  LA INICIACIÓN,1924,Alcoy
Generación Consciente,16,Diógenes, De cultura: libros y Bibliotecas,1924,Alcoy
Generación Consciente,17,Alicia M. De Valmaseda,Apuntes de una incomprendida ,1924,Alcoy
Generación Consciente,18,I.P.,La moral de la higiene ,1925,Alcoy
Generación Consciente,18,F. Caro Crespo,Libros y autores: Álvaro Retana,1925,Alcoy
Generación Consciente,19,Dr. Augusto Forel,Hacia la perfección moral del hombre: Ética sexual Dr. Augusto Forel,1925,Alcoy
Generación Consciente,21,Alicia M. de Valmaseda,Apuntes de una incomprendida ,1925,Alcoy
Generación Consciente,22,Regina Lamo,Deportismo femenino ,1925,Alcoy
Generación Consciente,25,Juan Pastor,La cuestión sexual y los anarquistas: no son palabras lo que hace falta ,1925,Alcoy
Generación Consciente,27,Un Médico Rural,Contingencia sexual ,1925,Alcoy
Generación Consciente,29,Ramón Magre,Del feminismo ,1925,Alcoy
Generación Consciente,35,Georges Hebert,El Sport contra la Educación física ,1926,Alcoy
Generación Consciente,36,Ramón Seró,El Music-hall ,1926,Alcoy
Generación Consciente,37,Margarita Nelken,Maternología y Puericultura ,1926,Alcoy
Generación Consciente,38,F. Barthe,Reflexiones sobre la diferencia potencial de los sexos ,1926,Alcoy
Generación Consciente,40,Ramón Seró,La pornografía ,1926,Alcoy
Generación Consciente,41,Adolfo Ballano Bueno,"""Penagos"": Sus Ingenuas ",1927,Alcoy
Generación Consciente,42,Ramón Magre,Generación de Cine,1927,Alcoy
Generación Consciente,45,Angel Samblancat,Comercio criminal ,1927,Alcoy
Generación Consciente,46,Regina Opisso de Llorens,Las histéricas ,1927,Alcoy
Generación Consciente,47,Sebastián Gomilla,La educación sexual ,1927,Alcoy
Generación Consciente,49,Dionysios,La tertulia de un hombre libre: Vecinos ,1927,Alcoy
Generación Consciente,50,"Eduardo Alfonso, Médico Naturalista",¿Amor libre o atado? ,1927,Alcoy
Generación Consciente,52,Un Médico Rural,¿Amor libre o atado?,1927,Alcoy
Generación Consciente,54,Isaac Puente,Consideraciones Eugénicas ,1928,Alcoy
Generación Consciente,55,Clair de Lune,Sobre la juventud y para ella ,1928,Alcoy
Generación Consciente,56,Ramón Magre,Los cultos,1928,Alcoy
Generación Consciente,58,Regina Opisso de Llorens,Las vampiresas,1928,Alcoy
Generación Consciente,60,David Díaz,De la vida sexual: La verdad ,1928,Alcoy
Estudios: Revista Ecléctica,64,Julio Barco,Gacetilla,1928,Valencia
Estudios: Revista Ecléctica,65,Luis Huerta,"¿Herencia o ""transpulsión""?",1929,Valencia
Estudios: Revista Ecléctica,65,Jorge E. Núñez Valdivia,"Maternidad, Sexo y moral",1929,Valencia
Estudios: Revista Ecléctica,65,Dr. César Juarros,Comentarios de un médico: LA CLAVE DE LOS SUEÑOS,1929,Valencia
Estudios: Revista Ecléctica,65,Dr. B. Liber,Para una antología de temas pedagógicos: El niño y el hogar,1929,Valencia
Estudios: Revista Ecléctica,66,Dr. Roberto Remartínez,Algunas observaciones sobre la higiene de la reproducción,1929,Valencia
Estudios: Revista Ecléctica,66,Luis Huerta,La doctrina eugénica de Amorós,1929,Valencia
Estudios: Revista Ecléctica,66,Antonia Maymón,La conquista de la vida,1929,Valencia
Estudios: Revista Ecléctica,66,Sebastián Gomilla,IDEACIONES: La gula de vivir,1929,Valencia
Estudios: Revista Ecléctica,69,Luis Huerta,El marañonismo y la intersexualidad,1929,Valencia
Estudios: Revista Ecléctica,70,Dr. Gregorio Marañón,Nuevas ideas sobre el problema de la intersexualidad y sobre la cronología de los sexos,1929,Valencia
Estudios: Revista Ecléctica,71,Dr. Gregorio Marañón,Nuevas ideas sobre el problema de la intersexualidad y sobre la cronología de los sexos,1929,Valencia
Estudios: Revista Ecléctica,75,Dr. J. Rutgers,LA AMBISEXUALIDAD,1929,Valencia
Estudios: Revista Ecléctica,83,Ixigrec,A propósito de Corydon. Reflexiones sobre la sexualidad,1930,Valencia
Estudios: Revista Ecléctica,91,No author given,La moral Y la educación sexual,1931,Valencia
Estudios: Revista Ecléctica,101,Santiago Valenti Camp,La ley del ritmo. Limitación funcional de las energías orgánicas y psíquicas,1932,Valencia
Estudios: Revista Ecléctica,104,No author given,Preguntas y Respuestas,1932,Valencia
Estudios: Revista Ecléctica,106,Eugen Relgis,Pro educación sexual integral,1932,Valencia
Estudios: Revista Ecléctica,107,Hem Day,La influencia de lo sexual en la vida política y social del ser humano,1932,Valencia
Estudios: Revista Ecléctica,119, A. G. Llauradó,La marcha triunfal del sexo,1933,Valencia
Estudios: Revista Ecléctica,120,Pierre Mac Orlan,Causas ocasionales y permanentes de la delincuencia. La herencia y el medio ambiente,1933,Valencia
Estudios: Revista Ecléctica,120,Pierre Mac Orlan,La lujuria,1933,Valencia
Estudios: Revista Ecléctica,123,P. P. Thomas,Del placer,1933,Valencia
Estudios: Revista Ecléctica,123,Santiago Valentí Camp,Temas sociológicos del día. El contagio moral y la lucha contra la psicosis colectiva,1933,Valencia
Estudios: Revista Ecléctica,125,Luis Bonilla G.,Los celos,1934,Valencia
Estudios: Revista Ecléctica,134,A. G. Llauradó,Por el sensualismo,1934,Valencia
Estudios: Revista Ecléctica,136,Amando J. Peñalva,La educación sexual en la escuela,1934,Valencia
Estudios: Revista Ecléctica,136,Dr. Félix Martí Ibáñez,"Eugenesia y moral sexual. Erótica, matrimonio y sexualidad",1934,Valencia
Estudios: Revista Ecléctica,143,Dr. Félix Martí Ibáñez,Eugenesia y moral sexual. El estilo amoroso,1935,Valencia
Estudios: Revista Ecléctica,145,Dr. Félix Martí Ibáñez,Consideraciones sobre el homosexualismo,1935,Valencia
